ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület,Raw Address,Address_y,lat,lon
32044997," Szigony utca, VIII. kerület",38,110000000.0,1,0,in good condition,not defined,gáz (cirko),not defined,not defined,not defined,before 1950,4,not defined,not defined,not defined,VIII," Szigony utca, "," Szigony utca, ",47.4826991,19.0792264
32045024," Gidófalvy Lajos utca, XIII. kerület",72,150000.0,3,2,in good condition,less than 3m,távfűtés egyedi méréssel,furnished,6.0,not allowed,between 1981-2000,10,yes,south west,garden,XIII," Gidófalvy Lajos utca, "," Gidófalvy Lajos utca, ",47.5293173,19.0718355
32045083," Andrássy út, VI. kerület",78,155000.0,2,1,renovated,more than 3m,gáz (cirko),furnished,6.0,not allowed,before 1950,3,not defined,not defined,garden,VI," Andrássy út, "," Andrássy út, ",47.5065213,19.0652946
32045092," Király utca, VI. kerület",38,150000.0,2,2,renovated,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,6,yes,not defined,courtyard,VI," Király utca, "," Király utca, ",47.6877551,17.6319261
32045126," Gyakorló utca, X. kerület",58,160000.0,3,6,in good condition,not defined,házközponti,furnished,3.5,not defined,not defined,not defined,yes,east,street,X," Gyakorló utca, "," Gyakorló utca, ",47.5028658,19.1528871
32045174," Attila utca 12-18, IV. kerület",40,150000.0,2,5,newly built,less than 3m,házközponti egyedi méréssel,not furnished,8.0,not allowed,2020,9,yes,west,garden,IV," Attila utca 12-18, "," Attila utca 12-18, ",47.35035985102621,21.57397946729851
32045178," Ügető utca, IV. kerület",66,135000.0,2,1,renovated,less than 3m,távfűtés,not furnished,not defined,not allowed,2020,not defined,no,not defined,garden,IV," Ügető utca, "," Ügető utca, ",47.5817636,19.1147873
32045203," Budenz út, II. kerület",110,710000.0,5,1,new,not defined,mennyezeti hűtés-fűtés,furnished,12.0,not allowed,2013,3,yes,south,garden,II," Budenz út, "," Budenz út, ",47.5201849,18.9903364
32045208," Gaál József út, XII. kerület",41,140000.0,2,2,in good condition,less than 3m,gáz (cirko),not furnished,4.0,not allowed,between 1950-1980,4,no,northwest,panoramic,XII," Gaál József út, "," Gaál József út, ",47.504228,19.0125598
32045276," Kőbányai út, X. kerület",30,115000.0,1,0,new,less than 3m,házközponti,furnished,6.0,allowed,not defined,5,yes,south east,garden,X," Kőbányai út, "," Kőbányai út, ",47.484887,19.1137279
