ID,Address,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület
32041173," Ernő utca, IX. kerület",60,160000.0,3,6,not defined,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,not defined,yes,not defined,street,IX
32041176," Szobi utca, VI. kerület",50,190000.0,2,1,renovated,more than 3m,elektromos,furnished,not defined,not allowed,before 1950,3,no,south west,street,VI
32041194," Megyer, IV. kerület",72,160000.0,3,1,in good condition,less than 3m,gáz (cirko),not furnished,6.0,not allowed,between 2001-2010,not defined,no,south east,courtyard,IV
32041200," Hársfa utca, VII. kerület",300,1000000.0,1,0,in good condition,not defined,házközponti egyedi méréssel,not furnished,not defined,not allowed,not defined,6,not defined,not defined,street,VII
32041232," Vizafogó, XIII. kerület",55,260000.0,2,4,new,less than 3m,fan-coil,furnished,15.0,allowed,not defined,8,yes,not defined,panoramic,XIII
32041300," Esztergomi út, XIII. kerület",60,280000.0,3,2,newly built,less than 3m,házközponti egyedi méréssel,furnished,10.0,not allowed,2019,5,yes,not defined,street,XIII
32041305," Bihari János utca, V. kerület",55,127000.0,2,mezzanine,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,4,not defined,not defined,street,V
32041331," Tavasz utca, III. kerület",62,150000.0,3,4,renovated,less than 3m,távfűtés,by arrangement,not defined,allowed,between 1981-2000,7,yes,south west,street,III
32041348," Szikla utca, II. kerület",70,299000.0,3,1,new,not defined,gáz (cirko),furnished,10.0,not allowed,not defined,3,no,not defined,garden,II
32041384," Csengery utca, VI. kerület",90,300000.0,3,1,renovated,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,5,yes,not defined,street,VI
32041391," Hegyalja út, I. kerület",34,160000.0,3,0,newly built,not defined,házközponti egyedi méréssel,not furnished,not defined,not allowed,not defined,4,not defined,not defined,courtyard,I
32041393," Kálvin tér, V. kerület",80,255000.0,3,2,renovated,more than 3m,gáz (cirko),furnished,3.0,not allowed,not defined,4,not defined,not defined,street,V
32041448," Lónyay utca, IX. kerület",68,179000.0,2,1,in good condition,not defined,gáz (cirko),furnished,3.0,not allowed,not defined,3,no,not defined,street,IX
32041450," Fővám tér 1, V. kerület",53,200000.0,2,1,renovated,more than 3m,házközponti,partly furnished,not defined,allowed,between 1950-1980,5,yes,south west,panoramic,V
32041473," Dembinszky utca 8, VII. kerület",42,160000.0,1,2,renovated,more than 3m,"gázkazán, gáz (cirko)",furnished,not defined,allowed,before 1950,2,no,east,street,VII
32041488," Hercegprímás utca, V. kerület",57,363850.0,2,1,renovated,more than 3m,elektromos,furnished,not defined,not defined,not defined,not defined,yes,not defined,street,V
32041540," Viola utca, IX. kerület",60,150000.0,2,3,new,less than 3m,gáz (cirko),furnished,not defined,not defined,between 2001-2010,4,yes,south east,street,IX
32041569," Hosszúház utca 2, XVIII. kerület",50,100000.0,2,3,in moderate condition,more than 3m,gáz (konvektor),not furnished,3.0,not defined,between 1950-1980,4,no,south west,street,XVIII
32041576," Sólyom utca, XII. kerület",52,185000.0,2,1,renovated,not defined,gáz (cirko),not defined,9.0,not defined,between 1981-2000,2,no,south,panoramic,XII
32041606," Ungvár utca, XIV. kerület",55,140000.0,3,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,XIV
32041615," Damjanich utca 26A, VII. kerület",41,110000.0,2,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,VII
32041634," Káldy Gyula utca 3, VI. kerület",50,240000.0,2,3,new,less than 3m,házközponti egyedi méréssel,furnished,5.0,not allowed,between 2001-2010,4,yes,south,street,VI
32041689," Belgrád rakpart, V. kerület",50,170000.0,2,1,renovated,more than 3m,"házközponti, gáz (cirko)",furnished,not defined,not allowed,before 1950,4,yes,not defined,courtyard,V
32041702," Ferenc körút, IX. kerület",18,75000.0,5,not defined,renovated,more than 3m,"házközponti egyedi méréssel, távfűtés egyedi méréssel",furnished,not defined,not allowed,not defined,not defined,no,not defined,street,IX
32041711," Kálvária utca, VIII. kerület",11,55000.0,1,not defined,renovated,more than 3m,gáz (konvektor),furnished,not defined,not allowed,not defined,not defined,not defined,not defined,courtyard,VIII
32041751," Egressy út 27-29, XIV. kerület",42,150000.0,2,2,new,less than 3m,házközponti egyedi méréssel,partly furnished,6.0,allowed,between 2001-2010,6,yes,south east,garden,XIV
32041793," Gellérthegy utca, I. kerület",71,436620.0,3,2,renovated,more than 3m,házközponti,furnished,3.62,not defined,2018,5,yes,not defined,courtyard,I
32041805," Tavas utca 1, X. kerület",35,95000.0,1,2,in good condition,less than 3m,házközponti egyedi méréssel,furnished,not defined,not defined,between 2001-2010,7,yes,west,not defined,X
32041815," Peterdy utca 29, VII. kerület",29,100000.0,1,2,renovated,more than 3m,gáz (konvektor),furnished,not defined,not allowed,not defined,3,no,not defined,courtyard,VII
32041822," Lipótváros, V. kerület",105,582160.0,3,5,new,not defined,nincs megadva,furnished,not defined,not defined,between 2001-2010,not defined,yes,not defined,panoramic,V
32041839," Hollán Ernő utca, XIII. kerület",72,280000.0,3,2,new,more than 3m,gáz (cirko),furnished,3.0,not allowed,between 1950-1980,5,yes,not defined,street,XIII
32041844," Zoborhegy tér 8, XIV. kerület",36,95000.0,1,1,in good condition,less than 3m,házközponti,furnished,not defined,not allowed,not defined,2,no,not defined,courtyard,XIV
32041884," Thököly út, XIV. kerület",39,120000.0,2,mezzanine,renovated,not defined,gáz (konvektor),not furnished,not defined,not allowed,not defined,not defined,not defined,not defined,street,XIV
32041888," Belváros, V. kerület",105,800470.0,3,2,renovated,more than 3m,"gáz (cirko), padlófűtés",furnished,not defined,not defined,2017,not defined,yes,south,not defined,V
32041896," Meder utca, XIII. kerület",93,850000.0,4,9,newly built,less than 3m,házközponti egyedi méréssel,partly furnished,44.0,not defined,2020,9,yes,south west,panoramic,XIII
32041899," Krepuska Géza-telep, XVIII. kerület",32,120000.0,1,mezzanine,not defined,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,between 2001-2010,4,no,south west,garden,XVIII
32041907," Frangepán utca, XIII. kerület",35,140000.0,2,not defined,not defined,not defined,nincs megadva,not defined,5.0,not defined,not defined,not defined,not defined,not defined,not defined,XIII
32041948," Kelenföldi lakótelep, XI. kerület",50,120000.0,2,3,in good condition,less than 3m,távfűtés egyedi méréssel,by arrangement,4.0,allowed,between 1981-2000,9,yes,not defined,garden,XI
32041952," Thaly Kálmán utca 46, IX. kerület",38,148000.0,2,4,new,less than 3m,gáz (cirko),furnished,7.0,not defined,between 2001-2010,6,yes,south west,street,IX
32041987," Vendel utca, IX. kerület",68,160000.0,3,4,in good condition,less than 3m,házközponti egyedi méréssel,partly furnished,10.0,not defined,between 2001-2010,6,yes,not defined,garden,IX
32042007," Gellérthegy, I. kerület",194,1197306.0,4,2,new,not defined,házközponti egyedi méréssel,not furnished,not defined,not defined,not defined,not defined,yes,not defined,panoramic,I
32042071," Mátyás tér, VIII. kerület",35,100000.0,2,0,renovated,not defined,gáz (konvektor),not furnished,not defined,not allowed,not defined,3,no,not defined,courtyard,VIII
32042101," Epreserdő utca, IX. kerület",27,90000.0,1,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,IX
32042126," Vágóhíd utca, IX. kerület",31,130000.0,1,not defined,not defined,not defined,nincs megadva,not defined,11.0,not defined,not defined,not defined,not defined,not defined,not defined,IX
32042148," Damjanich utca 27C, VII. kerület",42,100000.0,1,2,in good condition,more than 3m,gáz (konvektor),furnished,not defined,not allowed,before 1950,2,no,south west,courtyard,VII
32042150," Rippl-Rónai utca 21, VI. kerület",63,140000.0,2,4,renovated,more than 3m,gáz (cirko),partly furnished,not defined,allowed,before 1950,4,yes,south east,courtyard,VI
32042161," Diószegi Sámuel utca 44, VIII. kerület",41,95000.0,1,0,renovated,more than 3m,gáz (konvektor),furnished,not defined,not defined,before 1950,4,not defined,not defined,garden,VIII
32042164," Mézeskalács tér, XV. kerület",56,140000.0,3,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,XV
32042189," Dohány utca, VII. kerület",52,130000.0,2,2,not defined,not defined,gáz (cirko),partly furnished,not defined,not allowed,not defined,not defined,yes,not defined,courtyard,VII
32042222," Kálvária utca, VIII. kerület",27,80000.0,1,2,in moderate condition,more than 3m,gáz (konvektor),furnished,not defined,not allowed,before 1950,3,no,north,courtyard,VIII
32042247," Frangepán utca, XIII. kerület",40,140000.0,2,2,new,less than 3m,házközponti egyedi méréssel,furnished,2.0,not allowed,not defined,not defined,yes,not defined,garden,XIII
32042273," Pók utca, III. kerület",51,150000.0,3,not defined,not defined,not defined,nincs megadva,not defined,2.0,not defined,not defined,not defined,not defined,not defined,not defined,III
32042291," Pillangó park, XIV. kerület",48,140000.0,2,1,renovated,less than 3m,távfűtés,not furnished,not defined,not allowed,not defined,not defined,no,not defined,garden,XIV
32042308," Venetianer utca, IV. kerület",43,140000.0,2,2,new,not defined,gázkazán,furnished,3.0,not allowed,between 2001-2010,4,no,east,street,IV
32042344," Rózsa utca, VI. kerület",40,130000.0,1,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,VI
32042385," Gutenberg tér, VIII. kerület",56,150000.0,2,0,renovated,more than 3m,távfűtés egyedi méréssel,furnished,not defined,not allowed,not defined,not defined,yes,not defined,not defined,VIII
32042393," Jósika utca, VII. kerület",100,250000.0,3,1,renovated,more than 3m,gáz (cirko),not furnished,not defined,allowed,not defined,4,no,not defined,courtyard,VII
32042430," Vágóhíd utca, IX. kerület",45,155000.0,2,8,newly built,less than 3m,házközponti,by arrangement,12.0,allowed,2019,not defined,yes,east,courtyard,IX
32042465," Szilágyi Dezső tér, I. kerület",140,390000.0,5,1,renovated,more than 3m,gáz (cirko),not furnished,not defined,not defined,not defined,5,yes,not defined,panoramic,I
32042496," Horvát Boldizsár utca, XIV. kerület",45,110000.0,2,1,new,less than 3m,házközponti egyedi méréssel,furnished,3.0,not defined,not defined,4,yes,not defined,street,XIV
32042508," Váci utca, V. kerület",60,220000.0,3,3,renovated,less than 3m,"gáz (cirko), padlófűtés",furnished,not defined,not allowed,not defined,4,no,not defined,courtyard,V
32042534," Molnár utca, V. kerület",45,145000.0,2,0,new,less than 3m,gáz (cirko),furnished,not defined,not allowed,before 1950,3,not defined,not defined,street,V
32042535," Péterfy Sándor utca, VII. kerület",30,75000.0,1,1,renovated,less than 3m,gáz (konvektor),furnished,not defined,not allowed,not defined,3,no,not defined,garden,VII
32042537," Hamzsabégi út, XI. kerület",60,220000.0,3,1,new,less than 3m,házközponti egyedi méréssel,furnished,6.0,not defined,not defined,6,yes,not defined,garden,XI
32042541," Kőrösi Csoma Sándor út, X. kerület",57,150000.0,2,4,renovated,not defined,távfűtés,not furnished,3.0,not allowed,not defined,4,yes,not defined,street,X
32042562," Gyakorló utca, X. kerület",58,160000.0,4,not defined,not defined,not defined,nincs megadva,not defined,3.0,not defined,not defined,not defined,not defined,not defined,not defined,X
32042585," Lestyán utca 2, III. kerület",60,170000.0,2,not defined,not defined,not defined,nincs megadva,not defined,8.0,not defined,not defined,not defined,not defined,not defined,not defined,III
32042587," Kapás utca 48, II. kerület",25,110000.0,1,5,renovated,more than 3m,"cserépkályha, elektromos",furnished,not defined,not allowed,before 1950,5,yes,south west,courtyard,II
32042594," Márton utca, IX. kerület",50,120000.0,2,5,new,less than 3m,házközponti egyedi méréssel,furnished,6.0,not defined,not defined,5,yes,not defined,street,IX
32042598," Bártfai utca, XI. kerület",56,170000.0,3,mezzanine,renovated,not defined,gáz (cirko),not furnished,not defined,not defined,not defined,not defined,not defined,not defined,street,XI
32042607," Véső utca, XIII. kerület",50,150000.0,2,4,new,less than 3m,házközponti egyedi méréssel,furnished,4.0,not allowed,2014,5,yes,not defined,street,XIII
32042653," Újlak, II. kerület",69,400000.0,3,1,newly built,not defined,házközponti egyedi méréssel,not defined,11.0,not defined,2021,not defined,yes,not defined,garden,II
32042661," Váci út, XIII. kerület",42,110000.0,2,4,in good condition,less than 3m,házközponti,furnished,not defined,allowed,not defined,8,yes,not defined,street,XIII
32042677," Hamvas utca 12, XIX. kerület",30,120000.0,1,1,newly built,less than 3m,mennyezeti hűtés-fűtés,furnished,6.0,not allowed,2021,4,yes,northwest,street,XIX
32042720," Mátray utca, I. kerület",64,250000.0,2,2,renovated,not defined,gáz (cirko),not furnished,4.0,not allowed,not defined,4,yes,not defined,not defined,I
32042755," Keltike lejtő, XI. kerület",57,230000.0,3,0,newly built,not defined,"gáz (cirko), padlófűtés",partly furnished,25.0,not allowed,2019,2,not defined,not defined,garden,XI
32042774," Dohány utca 63, VII. kerület",15,80000.0,1,1,renovated,more than 3m,gáz (cirko),furnished,not defined,not defined,before 1950,3,not defined,not defined,street,VII
32042791," Akácfa utca 25, VII. kerület",39,200118.0,2,1,renovated,more than 3m,nincs megadva,furnished,not defined,not defined,before 1950,not defined,not defined,not defined,street,VII
32042834," Akácfa utca 27-29, VII. kerület",30,100000.0,1,2,renovated,less than 3m,hőszivattyú,furnished,not defined,not defined,before 1950,3,not defined,not defined,garden,VII
32042842," Felsőhatár utca, XI. kerület",68,230000.0,3,not defined,not defined,not defined,nincs megadva,not defined,6.0,not defined,not defined,not defined,not defined,not defined,not defined,XI
32042847," Csömöri út, XIV. kerület",40,130000.0,2,1,renovated,less than 3m,gáz (konvektor),not furnished,not defined,not defined,before 1950,3,no,east,street,XIV
32042856," Haraszti út, XXIII. kerület",42,110000.0,1,2,newly built,less than 3m,mennyezeti hűtés-fűtés,furnished,2.0,allowed,2017,3,no,south,street,XXIII
32042864," Damjanich utca 30, VII. kerület",81,185000.0,3,0,in good condition,more than 3m,gáz (cirko),not furnished,not defined,allowed,before 1950,4,yes,not defined,garden,VII
32042871," Erzsébet királyné útja, XIV. kerület",61,120000.0,3,not defined,not defined,not defined,nincs megadva,not defined,8.0,not defined,not defined,not defined,not defined,not defined,not defined,XIV
32042875," Bokréta utca 32-36, IX. kerület",37,150000.0,2,3,in good condition,not defined,gáz (cirko),partly furnished,6.0,not allowed,between 2001-2010,4,yes,not defined,garden,IX
