ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner_Height,Heating,Furnished,Balcony,Pet,Year_Built,Floors,Lift,Orientation,View,kerület,lat,lon,dist,Log(Price),LogPrice
32036971," Podmaniczky utca, VI. kerület",68,150000.0,2,not defined,not defined,not defined,nincs megadva,not defined,not defined,not defined,not defined,not defined,not defined,not defined,not defined,VI,47.517188299999994,19.072565,2.4718103866249983,11.918390573078392,11.918390573078392
32037052," Berzenczey utca, IX. kerület",81,149900.0,3,2,renovated,more than 3m,gáz (cirko),furnished,not defined,not allowed,not defined,3,no,south west,street,IX,47.48297120000001,19.0741598,2.690660788489172,11.917723684090689,11.917723684090689
32037056," Szigeti József utca, IV. kerület",34,110000.0,1,not defined,renovated,less than 3m,távfűtés,furnished,6.0,not allowed,not defined,not defined,yes,not defined,panoramic,IV,47.5639438,19.101427100000002,7.9981664931401095,11.608235644774552,11.608235644774552
32037057," Ond vezér útja, XIV. kerület",55,150000.0,3,4,renovated,not defined,házközponti,furnished,not defined,not allowed,not defined,10,yes,not defined,panoramic,XIV,47.5062907,19.1393982,6.732305703883386,11.918390573078392,11.918390573078392
32037085," Vértanúk tere, V. kerület",63,160000.0,2,mezzanine,renovated,not defined,házközponti,not furnished,not defined,not allowed,not defined,4,not defined,not defined,courtyard,V,47.5054012,19.048403699999998,0.5157357517790859,11.982929094215963,11.982929094215963
32037086," Rumbach Sebestyén utca, VII. kerület",40,90000.0,2,1,in good condition,more than 3m,gáz (konvektor),by arrangement,not defined,not defined,before 1950,3,no,north east,courtyard,VII,47.497522,19.058943399999997,0.7607733250733358,11.407564949312402,11.407564949312402
32037095," Lőwy Izsák utca, IV. kerület",50,100000.0,2,2,in good condition,less than 3m,házközponti,not furnished,1.0,not allowed,between 1950-1980,5,yes,west,street,IV,47.560669299999994,19.079641600000002,7.005319800032094,11.512925464970229,11.512925464970229
32037099," Ráday utca 8, IX. kerület",86,290000.0,2,2,renovated,not defined,nincs megadva,furnished,not defined,not allowed,not defined,not defined,no,not defined,street,IX,47.488343799999996,19.0626158,1.6831733658748476,12.577636201962656,12.577636201962656
32037110," Balogh Ádám utca, II. kerület",160,795000.0,4,0,renovated,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,2,no,not defined,garden,II,47.5268258,18.998117399999998,4.856734428275717,13.58609739363647,13.58609739363647
32037140," Izabella utca, VI. kerület",33,110000.0,1,2,renovated,less than 3m,gáz (konvektor),furnished,not defined,not allowed,before 1950,3,no,south west,courtyard,VI,47.5025846,19.0739367,1.7965640508091352,11.608235644774552,11.608235644774552
32037180," Aranykéz utca, V. kerület",80,170000.0,4,not defined,not defined,not defined,nincs megadva,not defined,7.0,not defined,not defined,not defined,not defined,not defined,not defined,V,47.4953864,19.050777399999998,0.6170663590939945,12.043553716032399,12.043553716032399
32037206," Irányi utca, V. kerület",107,290000.0,4,5,in moderate condition,not defined,távfűtés,not defined,4.0,not defined,before 1950,not defined,yes,south east,not defined,V,47.491164700000006,19.0533878,1.1117324255580967,12.577636201962656,12.577636201962656
32037216," Ond vezér útja, XIV. kerület",46,100000.0,2,7,in good condition,not defined,távfűtés,not defined,not defined,not allowed,not defined,10,yes,not defined,panoramic,XIV,47.5062907,19.1393982,6.732305703883386,11.512925464970229,11.512925464970229
